sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|8|1|0|0.923613|0.473566|1.000000|0.446259|0.210840|0.554000|0.285528|0.500000|1.000000|0.000000|0.321829
1|8|1|1|0.720750|0.562114|1.000000|0.461889|0.090892|0.252143|0.240000|0.500000|1.000000|0.000000|0.237514
1|8|1|2|0.720750|0.562114|1.000000|0.461889|0.090892|0.252143|0.240000|0.500000|1.000000|0.000000|0.237514
1|8|1|3|0.720750|0.562114|1.000000|0.461889|0.090892|0.252143|0.240000|0.500000|1.000000|0.000000|0.237514
1|8|1|4|0.720750|0.562114|1.000000|0.461889|0.090892|0.252143|0.240000|0.500000|1.000000|0.000000|0.237514
1|8|1|5|0.967033|0.465145|1.000000|0.500000|0.257527|0.357143|0.323333|0.500000|1.000000|0.000000|0.355346
1|8|1|6|0.718948|0.557432|0.500000|0.500556|0.052259|0.164571|0.219596|0.500000|1.000000|0.000000|0.235563
1|8|1|7|0.978022|0.423234|0.500000|0.555556|0.006406|0.428571|0.526667|0.500000|1.000000|0.000000|0.622642
1|8|1|8|0.707692|0.562736|0.500000|0.551852|0.043818|0.014286|0.213333|0.500000|1.000000|0.000000|0.233962
1|8|1|9|0.846154|0.515038|1.000000|0.481481|0.055093|0.571429|0.193333|0.500000|1.000000|0.000000|0.207547
1|8|1|10|0.846154|0.515038|1.000000|0.481481|0.055093|0.571429|0.193333|0.500000|1.000000|0.000000|0.207547
1|8|1|11|0.494505|0.752530|1.000000|0.444444|0.006406|0.428571|0.126667|0.500000|1.000000|0.000000|0.125786
1|8|1|12|0.494505|0.752530|1.000000|0.444444|0.006406|0.428571|0.126667|0.500000|1.000000|0.000000|0.125786
1|8|1|13|0.175824|0.992017|0.500000|0.444444|0.351057|0.571429|0.006667|0.500000|1.000000|0.000000|0.012579
1|8|1|14|0.307692|0.836350|1.000000|0.518519|0.028187|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|1|15|0.307692|0.836350|1.000000|0.518519|0.028187|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|1|16|0.307692|0.836350|1.000000|0.518519|0.028187|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|1|17|0.307692|0.836350|1.000000|0.518519|0.028187|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|1|18|0.241758|0.876265|0.000000|0.444444|0.060218|0.142857|0.066667|0.500000|1.000000|0.000000|0.075472
1|8|1|19|0.494505|0.718602|1.000000|0.407407|0.307495|0.571429|0.033333|0.500000|1.000000|0.000000|0.031447
1|8|1|20|0.395604|0.750534|0.500000|0.518519|0.047406|0.285714|0.113333|0.500000|1.000000|0.000000|0.106918
1|8|1|21|0.395604|0.750534|0.500000|0.518519|0.047406|0.285714|0.113333|0.500000|1.000000|0.000000|0.106918
1|8|1|22|0.395604|0.750534|0.500000|0.518519|0.047406|0.285714|0.113333|0.500000|1.000000|0.000000|0.106918
1|8|1|23|0.560440|0.632786|0.500000|0.481481|0.038437|0.000000|0.066667|0.500000|1.000000|0.000000|0.075472
1|8|2|0|0.560440|0.632786|0.500000|0.481481|0.038437|0.000000|0.066667|0.500000|1.000000|0.000000|0.075472
1|8|2|1|0.560440|0.632786|0.500000|0.481481|0.038437|0.000000|0.066667|0.500000|1.000000|0.000000|0.075472
1|8|2|2|0.581169|0.605163|0.500000|0.490741|0.057714|0.159143|0.083788|0.500000|1.000000|0.000000|0.093482
1|8|2|3|0.560440|0.632786|0.500000|0.481481|0.038437|0.000000|0.066667|0.500000|1.000000|0.000000|0.075472
1|8|2|4|0.628453|0.561695|0.324325|0.495481|0.039164|0.332000|0.270270|0.500000|1.000000|0.000000|0.309196
1|8|2|5|0.628453|0.561695|0.324325|0.495481|0.039164|0.332000|0.270270|0.500000|1.000000|0.000000|0.309196
1|8|2|6|0.628453|0.561695|0.324325|0.495481|0.039164|0.332000|0.270270|0.500000|1.000000|0.000000|0.309196
1|8|2|7|0.615385|0.570586|0.083335|0.500000|0.038650|0.142857|0.174444|0.500000|1.000000|0.000000|0.171908
1|8|2|8|0.615385|0.570586|0.083335|0.500000|0.038650|0.142857|0.174444|0.500000|1.000000|0.000000|0.171908
1|8|2|9|0.358974|0.731574|0.500000|0.524704|0.218450|0.261857|0.398889|0.500000|1.000000|0.000000|0.427673
1|8|2|10|0.241758|0.864623|0.625000|0.447519|0.006406|0.238143|0.277222|0.500000|1.000000|0.000000|0.305556
1|8|2|11|0.241758|0.864623|0.625000|0.447519|0.006406|0.238143|0.277222|0.500000|1.000000|0.000000|0.305556
1|8|2|12|0.241758|0.864623|0.625000|0.447519|0.006406|0.238143|0.277222|0.500000|1.000000|0.000000|0.305556
1|8|2|13|0.241758|0.864623|0.625000|0.447519|0.006406|0.238143|0.277222|0.500000|1.000000|0.000000|0.305556
1|8|2|14|0.241758|0.864623|0.625000|0.447519|0.006406|0.238143|0.277222|0.500000|1.000000|0.000000|0.305556
1|8|2|15|0.329670|0.756521|1.000000|0.407407|0.237028|0.428571|0.093333|0.500000|1.000000|0.000000|0.113208
1|8|2|16|0.186813|0.942124|1.000000|0.481481|0.252402|0.428571|0.066667|0.500000|1.000000|0.000000|0.069182
1|8|2|17|0.186813|0.942124|1.000000|0.481481|0.252402|0.428571|0.066667|0.500000|1.000000|0.000000|0.069182
1|8|2|18|0.186813|0.942124|1.000000|0.481481|0.252402|0.428571|0.066667|0.500000|1.000000|0.000000|0.069182
1|8|2|19|0.499215|0.645045|0.142855|0.476185|0.226595|0.224429|0.054286|0.500000|1.000000|0.000000|0.052111
1|8|2|20|0.384615|0.718602|0.500000|0.407407|0.006406|0.571429|0.100000|0.500000|1.000000|0.000000|0.132075
1|8|2|21|0.384615|0.718602|0.500000|0.407407|0.006406|0.571429|0.100000|0.500000|1.000000|0.000000|0.132075
1|8|2|22|0.500000|0.605843|0.178570|0.481481|0.132607|0.102000|0.035714|0.500000|1.000000|0.000000|0.035939
1|8|2|23|0.545055|0.587910|0.628570|0.531222|0.287947|0.379571|0.058857|0.500000|1.000000|0.000000|0.059479
1|8|3|0|0.475667|0.636492|0.285715|0.465593|0.133980|0.530571|0.038095|0.500000|1.000000|0.000000|0.044924
1|8|3|1|0.479853|0.618816|0.333335|0.493815|0.181935|0.190429|0.044444|0.500000|1.000000|0.000000|0.050314
1|8|3|2|0.410989|0.786617|0.460000|0.469630|0.036592|0.451429|0.065067|0.500000|1.000000|0.000000|0.065409
1|8|3|3|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|3|4|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
